4,0.00,0.03,-0.00,-7.94,-2.26,-4.31,88.56,-0.45,-1.35
4459,0.00,0.25,-0.01,-4.02,-1.11,-2.08,88.68,-0.28,-1.28
8125,0.00,0.42,-0.01,-4.14,-1.08,-1.98,88.75,-0.33,-1.20
11723,0.00,0.52,-0.01,-4.29,-1.02,-1.89,88.84,-0.40,-1.07
15341,0.01,0.63,-0.01,-4.43,-0.98,-1.83,88.90,-0.49,-0.98
18980,0.01,0.70,-0.01,-4.63,-0.93,-1.79,88.90,-0.50,-0.97
22600,0.01,0.76,-0.01,-4.81,-0.92,-1.74,88.97,-0.48,-0.90
26216,0.01,0.82,-0.01,-4.93,-0.90,-1.73,89.03,-0.51,-0.81
29809,0.01,0.85,-0.01,-5.10,-0.89,-1.77,89.02,-0.59,-0.76
33492,0.01,0.88,-0.01,-5.27,-0.87,-1.80,89.10,-0.57,-0.68
37238,0.01,0.90,-0.01,-5.39,-0.85,-1.85,89.17,-0.56,-0.60
40856,0.01,0.92,-0.01,-5.50,-0.82,-1.95,89.26,-0.53,-0.50
44466,0.01,0.93,-0.01,-5.63,-0.79,-2.11,89.28,-0.48,-0.52
48091,0.01,0.95,-0.01,-5.73,-0.79,-2.21,89.36,-0.40,-0.49
51724,0.00,0.96,-0.01,-5.82,-0.85,-2.38,89.49,-0.29,-0.41
55343,0.00,0.96,-0.01,-5.94,-0.98,-2.58,89.59,-0.23,-0.32
58959,0.00,0.97,-0.01,-6.03,-1.11,-2.73,89.66,-0.12,-0.30
62583,-0.00,0.97,-0.00,-6.17,-1.36,-2.90,89.72,0.06,-0.26
66192,-0.00,0.97,-0.01,-6.35,-1.65,-3.05,89.60,0.20,-0.33
69806,-0.01,0.98,-0.01,-6.52,-1.89,-3.18,89.48,0.36,-0.36
73430,-0.01,0.98,-0.01,-6.76,-2.17,-3.28,89.35,0.46,-0.44
77055,-0.01,0.98,-0.01,-6.99,-2.46,-3.34,89.28,0.61,-0.36
80670,-0.01,0.98,-0.01,-7.15,-2.66,-3.33,89.16,0.74,-0.36
84280,-0.01,0.98,-0.00,-7.33,-2.90,-3.22,89.19,0.76,-0.27
87889,-0.01,0.98,-0.00,-7.44,-3.04,-3.10,89.16,0.78,-0.26
91506,-0.01,0.98,-0.00,-7.53,-3.18,-2.84,89.16,0.80,-0.20
95126,-0.01,0.98,-0.00,-7.59,-3.25,-2.53,89.17,0.80,-0.17
98749,-0.01,0.98,-0.00,-7.54,-3.25,-2.27,89.16,0.82,-0.11
102368,-0.01,0.98,-0.00,-7.44,-3.15,-1.88,89.24,0.75,-0.01
105979,-0.01,0.97,0.00,-7.28,-2.95,-1.53,89.31,0.68,0.04
109592,-0.01,0.97,0.00,-7.13,-2.76,-1.25,89.34,0.63,0.16
113214,-0.01,0.97,0.00,-6.84,-2.47,-0.93,89.36,0.58,0.26
116801,-0.01,0.97,0.01,-6.52,-2.18,-0.67,89.33,0.53,0.39
120413,-0.01,0.97,0.01,-6.24,-2.02,-0.50,89.24,0.53,0.52
124034,-0.01,0.97,0.01,-5.86,-1.82,-0.27,89.15,0.55,0.64
127644,-0.01,0.97,0.01,-5.44,-1.65,-0.08,89.15,0.51,0.67
131255,-0.01,0.97,0.01,-5.11,-1.56,0.09,89.05,0.48,0.81
134888,-0.01,0.97,0.01,-4.69,-1.47,0.31,89.05,0.42,0.84
138545,-0.01,0.97,0.02,-4.21,-1.39,0.56,88.99,0.40,0.91
142210,-0.01,0.97,0.02,-3.88,-1.30,0.78,89.01,0.36,0.91
145794,-0.00,0.97,0.01,-3.39,-1.18,1.08,89.07,0.29,0.87
149427,-0.00,0.97,0.01,-2.95,-0.98,1.42,89.21,0.19,0.75
153059,-0.00,0.97,0.01,-2.64,-0.78,1.68,89.35,0.06,0.64
156683,-0.00,0.96,0.01,-2.18,-0.47,2.00,89.35,0.01,0.64
160297,0.00,0.96,0.01,-1.80,-0.15,2.32,89.39,-0.06,0.59
163917,0.00,0.96,0.01,-1.51,0.08,2.53,89.42,-0.17,0.54
167529,0.00,0.97,0.01,-1.15,0.38,2.76,89.40,-0.28,0.52
171153,0.01,0.97,0.01,-0.84,0.64,2.90,89.37,-0.35,0.51
174760,0.01,0.97,0.01,-0.66,0.79,2.95,89.32,-0.43,0.51
178355,0.01,0.97,0.01,-0.35,0.99,2.99,89.29,-0.49,0.49
181967,0.01,0.97,0.01,-0.12,1.05,2.95,89.21,-0.59,0.51
185565,0.01,0.97,0.01,0.03,1.07,2.89,89.15,-0.65,0.52
189174,0.01,0.97,0.01,0.20,0.99,2.76,89.15,-0.69,0.48
192794,0.01,0.97,0.01,0.32,0.87,2.67,89.13,-0.74,0.45
196415,0.01,0.97,0.01,0.38,0.66,2.46,89.15,-0.77,0.35
200046,0.01,0.97,0.00,0.41,0.43,2.24,89.20,-0.75,0.23
203657,0.01,0.97,0.00,0.38,0.24,2.08,89.28,-0.69,0.14
207266,0.01,0.97,-0.00,0.29,0.02,1.85,89.26,-0.72,-0.03
210876,0.01,0.97,-0.00,0.11,-0.14,1.65,89.29,-0.69,-0.04
214479,0.01,0.97,-0.00,-0.06,-0.24,1.54,89.26,-0.71,-0.17
218091,0.01,0.97,-0.00,-0.34,-0.35,1.40,89.24,-0.72,-0.20
221717,0.01,0.97,-0.00,-0.58,-0.44,1.28,89.20,-0.74,-0.29
225336,0.01,0.97,-0.01,-0.73,-0.53,1.22,89.10,-0.82,-0.35
228945,0.01,0.97,-0.01,-0.95,-0.61,1.15,89.06,-0.84,-0.40
232559,0.01,0.97,-0.01,-1.16,-0.67,1.02,88.99,-0.88,-0.48
236190,0.02,0.97,-0.01,-1.31,-0.67,0.95,88.88,-0.92,-0.62
